departement;nb_adresses;cad_exist;exist_ban_nb;exist_ban_pct;cad_ajoute;cad_manquant;cad_fallback;pct_matched;nb_parcelles_src;nb_parts;source_cadastre;ban_version;cadastre_version;temps_sec;temps_load_sec;temps_process_sec;debut;conf_1.0_nb;conf_1.0_pct;conf_0.9_nb;conf_0.9_pct;conf_0.75_nb;conf_0.75_pct;conf_0.5_nb;conf_0.5_pct;conf_0.25_nb;conf_0.25_pct;conf_0.0_nb;conf_0.0_pct
61;176894;87439;87439;49.43;89167;288;43214;99.84;556980;1;geojson→parquet;2026-03-24;2023-01-01;44.87;31.64;6.41;2026-03-24 11:49:11;46027;26.02;41189;23.28;1951;1.1;0;0.0;0;0.0;288;0.16
62;692515;158302;158302;22.86;532708;1505;299748;99.78;1475509;4;geojson→parquet;2026-03-24;2023-01-01;108.52;64.33;30.46;2026-03-24 11:49:56;233164;33.67;291082;42.03;8462;1.22;0;0.0;0;0.0;1505;0.22
63;326010;199035;199035;61.05;126787;188;47212;99.94;1562314;2;geojson→parquet;2026-03-24;2023-01-01;73.84;45.89;8.14;2026-03-24 11:51:45;79624;24.42;45424;13.93;1739;0.53;0;0.0;0;0.0;188;0.06
64;271176;232285;232285;85.66;38777;114;14442;99.96;1091571;2;geojson→parquet;2026-03-24;2023-01-01;48.02;37.88;5.43;2026-03-24 11:52:59;24351;8.98;13765;5.08;661;0.24;0;0.0;0;0.0;114;0.04
65;126794;51119;51119;40.32;75517;158;32188;99.88;661337;1;geojson→parquet;2026-03-24;2023-01-01;26.46;19.67;3.2;2026-03-24 11:53:48;43375;34.21;30726;24.23;1416;1.12;0;0.0;0;0.0;158;0.12
66;254974;150899;150899;59.18;103801;274;41057;99.89;711407;2;geojson→parquet;2026-03-24;2023-01-01;32.63;23.9;5.75;2026-03-24 11:54:14;62836;24.64;39794;15.61;1171;0.46;0;0.0;0;0.0;274;0.11
67;338974;154129;154129;45.47;184705;140;59349;99.96;1566655;2;geojson→parquet;2026-03-24;2023-01-01;56.79;42.69;9.06;2026-03-24 11:54:47;125438;37.01;58074;17.13;1193;0.35;0;0.0;0;0.0;140;0.04
68;258320;110389;110389;42.73;147832;99;44268;99.96;1001165;2;geojson→parquet;2026-03-24;2023-01-01;36.42;27.19;6.39;2026-03-24 11:55:44;103666;40.13;43295;16.76;871;0.34;0;0.0;0;0.0;99;0.04
69;352591;70739;70739;20.06;281544;308;87113;99.91;943667;2;geojson→parquet;2026-03-24;2023-01-01;45.0;32.11;9.18;2026-03-24 11:56:21;198221;56.22;81680;23.17;1643;0.47;0;0.0;0;0.0;308;0.09
70;131112;24565;24565;18.74;106198;349;47608;99.73;716020;1;geojson→parquet;2026-03-24;2023-01-01;29.64;23.23;3.91;2026-03-24 11:57:07;58655;44.74;44787;34.16;2756;2.1;0;0.0;0;0.0;349;0.27
71;277101;118498;118498;42.76;158189;414;68146;99.85;1312585;2;geojson→parquet;2026-03-24;2023-01-01;58.43;45.16;7.71;2026-03-24 11:57:36;90139;32.53;65597;23.67;2453;0.89;0;0.0;0;0.0;414;0.15
72;260753;141528;141528;54.28;119102;123;44094;99.95;778787;2;geojson→parquet;2026-03-24;2023-01-01;52.76;26.66;6.09;2026-03-24 11:58:35;76482;29.33;41667;15.98;953;0.37;0;0.0;0;0.0;123;0.05
73;183132;122265;122265;66.76;60804;63;13997;99.97;1743984;1;geojson→parquet;2026-03-24;2023-01-01;79.08;67.14;5.36;2026-03-24 11:59:28;47030;25.68;13587;7.42;187;0.1;0;0.0;0;0.0;63;0.03
74;280226;203689;203689;72.69;76463;74;12626;99.97;1534030;2;geojson→parquet;2026-03-24;2023-01-01;104.02;86.85;9.73;2026-03-24 12:00:48;63856;22.79;12115;4.32;492;0.18;0;0.0;0;0.0;74;0.03
75;152331;0;0;0.0;152029;302;160;99.8;77955;1;geojson→parquet;2026-03-24;2023-01-01;9.87;3.57;3.79;2026-03-24 12:02:33;151869;99.7;76;0.05;84;0.06;0;0.0;0;0.0;302;0.2
76;465954;102395;102395;21.98;362594;965;158426;99.79;816085;3;geojson→parquet;2026-03-24;2023-01-01;63.35;36.58;17.18;2026-03-24 12:02:43;204662;43.92;151723;32.56;6209;1.33;0;0.0;0;0.0;965;0.21
77;453086;126668;126668;27.96;325834;584;134448;99.87;1257000;3;geojson→parquet;2026-03-24;2023-01-01;85.78;46.44;16.16;2026-03-24 12:03:47;191530;42.27;130566;28.82;3738;0.83;0;0.0;0;0.0;584;0.13
78;343290;106116;106116;30.91;236347;827;116053;99.76;659853;2;geojson→parquet;2026-03-24;2023-01-01;44.02;26.32;14.29;2026-03-24 12:05:13;120408;35.07;112307;32.71;3632;1.06;0;0.0;0;0.0;827;0.24
79;209567;69048;69048;32.95;140272;247;75503;99.88;914929;2;geojson→parquet;2026-03-24;2023-01-01;54.77;42.5;8.55;2026-03-24 12:05:57;64828;30.93;73668;35.15;1776;0.85;0;0.0;0;0.0;247;0.12
80;275490;159907;159907;58.04;115098;485;54540;99.82;753663;2;geojson→parquet;2026-03-24;2023-01-01;45.53;33.35;9.08;2026-03-24 12:06:52;60835;22.08;52069;18.9;2194;0.8;0;0.0;0;0.0;485;0.18
81;220823;180444;180444;81.71;40348;31;13984;99.99;1040207;2;geojson→parquet;2026-03-24;2023-01-01;80.24;48.73;6.04;2026-03-24 12:07:38;26904;12.18;13179;5.97;265;0.12;0;0.0;0;0.0;31;0.01
82;135892;80349;80349;59.13;55375;168;27768;99.88;675178;1;geojson→parquet;2026-03-24;2023-01-01;35.24;27.66;4.28;2026-03-24 12:08:59;27632;20.33;26607;19.58;1136;0.84;0;0.0;0;0.0;168;0.12
83;400262;248755;248755;62.15;150708;799;26952;99.8;923888;3;geojson→parquet;2026-03-24;2023-01-01;62.03;44.59;13.17;2026-03-24 12:09:34;123827;30.94;24668;6.16;2213;0.55;0;0.0;0;0.0;799;0.2
84;258993;113564;113564;43.85;144966;463;35415;99.82;811006;2;geojson→parquet;2026-03-24;2023-01-01;54.29;40.79;8.58;2026-03-24 12:10:37;109664;42.34;33475;12.93;1827;0.71;0;0.0;0;0.0;463;0.18
85;436365;18659;18659;4.28;417466;240;168230;99.95;1261577;3;geojson→parquet;2026-03-24;2023-01-01;91.56;65.46;19.73;2026-03-24 12:11:32;250018;57.3;165385;37.9;2063;0.47;0;0.0;0;0.0;240;0.05
86;214085;68987;68987;32.22;144988;110;49498;99.95;1042208;2;geojson→parquet;2026-03-24;2023-01-01;60.88;48.49;8.47;2026-03-24 12:13:04;95568;44.64;48283;22.55;1137;0.53;0;0.0;0;0.0;110;0.05
87;182016;146258;146258;80.35;35696;62;9878;99.97;934171;1;geojson→parquet;2026-03-24;2023-01-01;59.72;50.78;5.11;2026-03-24 12:14:05;25833;14.19;9525;5.23;338;0.19;0;0.0;0;0.0;62;0.03
88;190171;42197;42197;22.19;147487;487;74689;99.74;964215;1;geojson→parquet;2026-03-24;2023-01-01;67.9;55.13;9.05;2026-03-24 12:15:05;72865;38.32;72025;37.87;2597;1.37;0;0.0;0;0.0;487;0.26
89;200784;82388;82388;41.03;118056;340;54217;99.83;1165193;2;geojson→parquet;2026-03-24;2023-01-01;73.17;59.24;9.55;2026-03-24 12:16:14;63952;31.85;51854;25.83;2250;1.12;0;0.0;0;0.0;340;0.17
90;44840;6883;6883;15.35;37942;15;4638;99.97;135462;1;geojson→parquet;2026-03-24;2023-01-01;34.4;21.24;6.69;2026-03-24 12:37:17;33317;74.3;4455;9.94;170;0.38;0;0.0;0;0.0;15;0.03
91;337681;57760;57760;17.1;279328;593;140265;99.82;582008;2;geojson→parquet;2026-03-24;2023-01-01;115.71;72.61;26.9;2026-03-24 12:37:17;139252;41.24;137043;40.58;3033;0.9;0;0.0;0;0.0;593;0.18
92;166662;6925;6925;4.16;159020;717;78637;99.57;159421;1;geojson→parquet;2026-03-24;2023-01-01;55.26;25.18;22.91;2026-03-24 12:37:17;80927;48.56;76640;45.99;1453;0.87;0;0.0;0;0.0;717;0.43
93;235158;10884;10884;4.63;223290;984;164536;99.58;229800;2;geojson→parquet;2026-03-24;2023-01-01;78.42;36.19;32.73;2026-03-24 12:37:17;59070;25.12;160576;68.28;3644;1.55;0;0.0;0;0.0;984;0.42
94;201884;10464;10464;5.18;190895;525;125523;99.74;210254;2;geojson→parquet;2026-03-24;2023-01-01;74.4;35.15;28.43;2026-03-24 12:37:17;65624;32.51;123566;61.21;1705;0.84;0;0.0;0;0.0;525;0.26
95;286709;42183;42183;14.71;244059;467;98920;99.84;499696;2;geojson→parquet;2026-03-24;2023-01-01;39.11;24.41;12.33;2026-03-24 12:17:27;145275;50.67;96700;33.73;2084;0.73;0;0.0;0;0.0;467;0.16
