id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status
21012_0095_00016_bis;21012_0095;16;bis;Route de Montbard;21400;21012;Ampilly-le-Sec;;;814490.39;6746680.33;4.529771;47.810536;entrée;;;AMPILLY LE SEC;ROUTE DE MONTBARD;commune;commune;1;210120000C0217;2c3156d6-651e-4a30-bea4-0b0c61bc859c;3b60ac22-90f0-44d5-b3a5-8bc3d3b41134;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0095_00026;21012_0095;26;;Route de Montbard;21400;21012;Ampilly-le-Sec;;;814380.32;6746445.38;4.52824;47.808441;entrée;;;AMPILLY LE SEC;ROUTE DE MONTBARD;commune;commune;1;210120000C0222;2cb6a084-8751-41dc-857b-8861e6357ddc;3b60ac22-90f0-44d5-b3a5-8bc3d3b41134;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0150_00020;21012_0150;20;;Grande Rue;21400;21012;Ampilly-le-Sec;;;814642.13;6746799.74;4.531829;47.811584;entrée;;;AMPILLY LE SEC;GRANDE RUE;commune;commune;1;;2f12294a-3d67-420e-8dfa-ebec0cb675eb;df4ca75e-7d08-4db5-85e6-ef090b3c2fbf;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;missing
21012_0125_00004;21012_0125;4;;Ruelle du presbytère;21400;21012;Ampilly-le-Sec;;;814698.58;6746498.89;4.532505;47.808867;entrée;;;AMPILLY LE SEC;RUELLE DU PRESBYTERE;commune;commune;1;210120000E0136;2f40edb9-cdb1-4d8a-88ed-0e94986d8167;7d1169a5-8ca1-47d8-89cf-b49c90d6f906;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0150_00003;21012_0150;3;;Grande Rue;21400;21012;Ampilly-le-Sec;;;814632.95;6746547.63;4.531641;47.809317;entrée;;;AMPILLY LE SEC;GRANDE RUE;commune;commune;1;210120000E0046;2f5f7013-06af-4e52-8f06-b7b95b733834;df4ca75e-7d08-4db5-85e6-ef090b3c2fbf;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0120_00003;21012_0120;3;;Rue du Presbytère;21400;21012;Ampilly-le-Sec;;;814672.77;6746524.73;4.532167;47.809104;entrée;;;AMPILLY LE SEC;RUE DU PRESBYTERE;commune;commune;1;210120000E0130;30d9bd46-81c5-49b7-b0e7-28a760a2c3b6;51a7c682-21f6-483b-a65a-a612f8fb462b;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0095_00023;21012_0095;23;;Route de Montbard;21400;21012;Ampilly-le-Sec;;;814365.03;6746373.08;4.528017;47.807793;entrée;;;AMPILLY LE SEC;ROUTE DE MONTBARD;commune;commune;1;210120000E0009;31fd2b94-b30e-4e70-bb19-db721d69565c;3b60ac22-90f0-44d5-b3a5-8bc3d3b41134;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0150_00035;21012_0150;35;;Grande Rue;21400;21012;Ampilly-le-Sec;;;814629.32;6746804.27;4.531659;47.811627;entrée;;;AMPILLY LE SEC;GRANDE RUE;commune;commune;1;210120000E0293;32efe56d-8c43-4c4a-ba4e-4dbef30bf584;df4ca75e-7d08-4db5-85e6-ef090b3c2fbf;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0055_00010;21012_0055;10;;Rue Edme Boitouzet;21400;21012;Ampilly-le-Sec;;;814541.93;6746230.14;4.530343;47.806476;entrée;;;AMPILLY LE SEC;RUE EDME BOITOUZET;commune;commune;1;210120000E0264;3392a4e8-e23c-47a2-bf27-ecc6832c9469;0000e898-b599-4eed-811e-a749979e77a3;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
21012_0045_00003;21012_0045;3;;Rue de la Petite Confree;21400;21012;Ampilly-le-Sec;;;814579.35;6746447.02;4.530899;47.808421;entrée;;;AMPILLY LE SEC;RUE DE LA PETITE CONFREE;commune;commune;1;210120000E0160;339f4b41-7abc-4876-8c5f-4483d02ffb77;4dd29307-7943-47e5-a2e5-19485016c556;d51179f7-4ee2-4e05-b4e6-82ffe9557dfd;add
